Abitur,A levels
Bauern,farmers
Beziehung,relationship
Dekorationen,decorations
Einkäufe machen,to go shopping
Ferien,holidays
Handlung,storyline
Jungendliche,teenagers
Kaugummi zu kauen,to chew gum
Kenntnisse,knowledge
Kohlendioxidausstoß,carbon dioxide emissions
Kulturangebote,cultural offers
Lebenskompetenzen,life skills
Lieder,songs
Mittlere Reife,GCSE
Monumente,monuments
Muskeln,muscles
Möglichkeiten,possibilities
Nachbarschaft,neighborhood
Nachrichten,news
Ohrringe,earrings
Papiertücher,tissues
Sachen,things
Schwierigkeiten,difficulties
Ski laufen,to ski
Solarkollektoren,solar panels
Sommerferien,summer holidays
Sozialkunde,social subjects
Sport treiben,to do sports
Stars,celebrities
Staub saugen,to vacuum
Straßen,streets
Tabletten,tablets
U-Bahn,subway
Umweltfreundlichkeit,environmental friendliness
Verwandte,relatives
abholen,to collect
abwählen,to drop a subject
adoptiert,adopted
amüsieren sich,to enjoy oneself
angeln,to fish
angenehm,pleasant
ankommen,to arrive
annehmen,to accept
anstrengend,tiring
anziehen (sich),to get dressed
arm,poor
auf etwas vorbereiten (sich),to get ready for
aufbauen,to build up, construct
aufgeschlossen,open-minded
aufhören,to stop
aufmachen,to open
aufräumen,to tidy up
aufstehen,to get up
aufwachen,to wake up
aufwachsen,to grow up
ausgeben,to spend
ausgebucht,fully booked
ausgehen,to go out
ausmachen,to turn off
ausruhen,to rest
ausruhen sich,to rest
ausschalten,to switch off
aussteigen,to alight
auszubessern,to correct
bearbeiten,to work on
bedeckt,overcast
bedrohen,to threaten
beeinflussen,to influence
begrenzt,limited
bei mir,at home
bekannt,famous
bekommen,to get
bequem,comfortable
beraten,to advice
berufstätig,employed
berühmt,famous
berühmt,famous
beschäftigt,busy
besetzt,occupied
besichtigen,to visit (a place)
besuchen,to visit
betreten,to enter
bevorzugen,to prefer
bezahlen,to pay
billig,cheap
bügeln,to iron
bürsten,to brush
dadurch,thus
das Auge,eye
das Ausland,abroad
das Bein,leg
das Benzin,petrol
das Bett machen,to make the bed
das Boot,boat
das Brettspiel,board game
das Bücherregal,bookshelf
das Büro,office
das Dach,roof
das Diplom,diploma
das Einfamilienhaus,detached house
das Einkaufszentrum,mall
das Einzelkind,only child
das Erdbeben,earthquake
das Erdgeschoss,ground floor
das Ergebnis,result
das Fach,subject
das Fenster,window
das Fernsehen,TV
das Fest,festival
das Fieber,fever
das Gepäck,luggage
das Gesicht,face
das Gewichtstraining,weight training
das Gewitter,thunderstorm
das Glas,glass
das Hallenbad,indoor swimming pool
das Handy,phone
das Hobby,hobby
das Hochhaus,highrise
das Idol,idol
das Kohlendioxid,co2
das Leder,leather
das Licht,light
das Medikament,medicine
das Mobbing,bullying
das Mofa,moped
das Notizheft,notebook
das Ohr,ear
das Pflichtfach,compulsory subject
das Product,product
das Recycling,recycling
das Schach,chess
das Schlagzeug,drums
das Schmuckgeschäft,jewelry shop
das Schulgebäude,school building
das Sofa,sofa
das Spiel,game
das Spielzeug,toy
das Sportzentrum,sports center
das Stadion,stadium
das Turnen,gymnastics
das Verhalten,behavior
das Vorbild,role model
das Wahlfach,optional subject
das Waldbrand,forest fire
das Waldsterben,deforestation
das Zelt,tent
das Zeugnis,report
dauern,to last
decken,to set (the table)
den Boden Staub gesaugt,hoovered the floor
der Abflug,flight departure
der Angestellte,employee
der Arbeitgeber,employer
der Arm,arm
der Aufenthalt,layover
der Aufsatz,essay
der Ausflug,excursion
der Ausverkauf,clearance sale
der Bahnsteig,train platform
der Bauch,stomach
der Bauernhof,farm
der Berater,consultant
der Bleistift,pencil
der Brief,letter
der Brunnen,fountain
der Buchhalter,accountant
der Computer,computer
der Cousin,cousin
der Direktor,principal
der Dreck,dirt
der Einfluss,influence
der Fehler,mistake
der Fernseher,TV
der Film,movie
der Flughafen,airport
der Flugschein,flight ticket
der Flur,hall
der Fluss,river
der Gast,guest
der Grad,degree
der Grund,reason
der Gruselfilm,horror film
der Hafen,port
der Hahn,tap
der Hals,neck
der Handschuh,glove
der Himmel,sky
der Hof,playground
der Holz,wood
der Honig,honey
der Husten,cough
der Hut,hat
der Kassier,cashier
der Keller,cellar
der Kopf,head
der Kopfhörer,headphones
der Krach,noise
der Krankenpfleger,nurse
der Kuli,pen
der Kunde,customer
der Körper,body
der Kühlschrank,fridge
der Laden,small shop
der Lehrling,apprentice
der Lärm,noise
der Magen,stomach
der Mülleimer,trash can
der Nachbar(in),neighbour
der Nachname,surname
der Nebel,fog
der Neffe,nephew
der Nord,north
der Ost,east
der Palast,palace
der Parkplatz,car pack
der Popstar,popstar
der Preis,price
der Pullover,sweater
der Regendwald,rainforest
der Regenschirm,umbrella
der Roman,novel
der Rucken,back
der Ruhetag,day off
der Schinken,ham
der Schlafanzug,pyjamas
der Schlüssel,key
der Schmerz,pain
der Schmuck,jewelry
der Schnee,snow
der Schrank,cupboard
der Schreibtisch,desk
der Sender,broadcaster
der Souvenirladen,souvenir shop
der Sportler,sportsman
der Stadtrand,outskirts
der Stau,traffic jam
der Stock,floor
der Student,college student
der Stuhl,chair
der Stundenplan,timetable
der Sturm,storm
der Süd,south
der Teller,plate
der Termin,appointment
der Tornado,tornado
der Trickfilm,cartoon
der Unternehmer,entrepreneur
der Unterricht,lesson
der Verkehrsstau,traffic jam
der Verkäufer,salesperson
der Vorname,first name
der Vorort,suburb
der Wagen,car
der Wecker,alarm clock
der Weg,way
der Werbespot,advertisement
der West,west
der Wetterbericht,weather report
der Wohnort,residence
der Zahn,tooth
der Zahnarzt,dentist
der Zeitungskiosk,newsstand
der Zug,train
der Zwilling,twin
der/die Erwachsene,grown-up
der/die Jugendliche,young person
die Abfahrt,departure
die Abreise,departure
die Abteilung,department
die Adresse,address
die Angst,anxiety, fear
die Ankunft,arrival
die Apotheke,pharmacy
die Arbeitslosigkeit,unemployment
die Art,type
die Augen,eyes
die Ausdauer,endurance
die Ausfahrt,exit
die Aussicht,view
die Auswahl,choice
die Autobahn,highway
die Bank,bank
die Bewerbung,application
die Bildung,education
die Brille,glasses
die Buchhandlung,bookshop
die Bäckerei,bakery
die Decke,blanket
die Dürre,drought
die Ecke,corner
die Eisenbahn,railway
die Entscheidung,decision
die Erkältung,cold
die Ermäßigung,discount
die Erziehung,education
die Freizeit,free time
die Freundschaft,friendship
die Galerie,gallery
die Gartenarbeit,gardening
die Gastfamilie,host family
die Gaststätte,restaurant
die Gegend,region
die Geige,violin
die Gelegenheit,occasion
die Gelengenheit,opportunity
die Geschwindigkeit,speed
die Gesellschaft,society
die Glatze,bald head
die Grippe,flu
die Grundschule,elementary school
die Größe,size
die Hauptstadt,capital city
die Hektik,rush
die Hose,pants
die Internetverbindung,internet connection
die Jacke,jacket
die Kaffeemaschine,coffee maker
die Karte,ticket
die Katastrophe,catastrophe
die Klassenarbeit,test
die Klassenfahrt,class trip
die Klausur,exam
die Klimaänderung,climate change
die Kraft,energy
die Krankheit,sickness
die Krawatte,tie
die Küste,coast
die Landschaft,landscape
die Lebensqualität,life quality
die Leichtathletik,athletics
die Mannshaft,team
die Maschine,plane
die Metzgerei,butcher's shop
die Mittagspause,lunchtime
die Möbel,furniture
die Nase,nose
die Nichte,niece
die Note,grade
die Nutzung,usage
die Ohren,ears
die Pause,break time
die Pflanze,plant
die Privatsphäre,privacy
die Prominente,celebrity
die Rechnung,bill
die S-Bahn,local railway
die Schildkröte,turtle
die Schmerzen,pain
die Schminke,makeup
die Schublade,drawer
die Schuluniform,school uniform
die Sehenswürdigkeit,place of interest
die Selbstbedienung,self-service
die Sendung,broadcast
die Sonnenbrille,sunglasses
die Sonnencreme,sunscreen
die Spende,donation
die Sprache,language
die Spülmaschine,dishwasher
die Straßenbahn,tram
die Tapete,wallpaper
die Terrasse,terrace
die Tierart,animal species
die Toilette,toilet
die Treppe,stairs
die Trommel,drum
die Tür,door
die Umgebung,surroundings
die Unterhaltung,entertainment
die Verspätung,delay
die Verwüstung,desertification
die Vorstadt,suburb
die Vorstellung,performance
die Waschmaschine,washing machine
die Wasserflasche,water bottle
die Werbung,advertisement
die Wichtigkeit,importance
die Wohnung,apartment
die Wolke,cloud
die Zahnbürste,toothbrush
die Zahnärztin,dentist
die Zeitschrift,magazine
die Zeitung,newspaper
die Zeremonie,ceremony
die Zähne,teeth
die Zähne putzen,to clean one's teeth
die Änderung,change
die Überschwemmung,floods
drucken,to print
dumm,stupid
dunkel,dark
durchfahren,to travel straight through
dünn,thin
eher,rather
ehrlich,honest
eigenständig,independent
eigentlich,actually
eine Prüfung bestehen,to pass an exam
einige,several
einkaufen,to buy
einsam,lonely
einschränken,to limit
einsteigen,to get on
einzig,only
entdecken,to discover
entscheiden sich,to decide
entspannend,relaxing
erfahren,to experience
erfolgreich,successful
erfreulich,pleasant
erklären,to explain
erkrankt,sick
erkältet sein,to have a cold
erlauben,to allow
erleben,to experience
ermüdend,tiring
erreicht,reaches
erschöpft,exhausted
erwachsen,grown-up
erwarten,to expect
erziehen,to educate
es donnert und blitzt,there is thunder and lightning
es schneit,it's snowing
es tut weh,it hurts
falsch,false
faul,lazy
feiern,to celebrate
folgen,to follow
freiwillig,optional
fühlen,to feel
führen,to lead to
gafallen,to please
gastfreundlich,welcoming
geeignet,suitable
gegenüber,opposite
gemütlich,cozy
genießen,to enjoy
geschieden,divorced
geschwätzig,talkative
gleich,equal
global,global
glücklicherweise,fortunately
großzügig,generous
günstig,cheap
halten,to stop
hassen,to hate
heimwehkrank,homesick
heiraten,to marry
hell,bright
herausfordernd,challenging
hässlich,ugly
höflich,polite
hübsch,pretty
ich putze meine Zähne,I brush my teeth
ich wasche mein Gesicht,I wash my face
ich ziehe mich an,i get dressed
im Ausland,abroad
im allgemeinen,on the whole
in ersten Stock,on the first floor
irgendwann,sometime
joggen,to jog
jünger,younger
kaputt,broken
kennenlernen,to get to know
klettern,to climb
kochen,to cook
kompostieren,to compost
konkurrieren,to compete
kopieren,to copy
kostspielig,costly
lachen,to laugh
landen,to land
laufen,to run
ledig,single
leer,empty
leeren,to empty
leicht,easy
leiden,to suffer
leise,quiet
leisten sich,to afford
links von,to the left of
lockig,curly
lustig,funny
manchmal,sometimes
möglicherweise,possibly
nach Hause gehen,to go home
nach oben gehen,to go upstairs
nach unten gehen,to go downstairs
nachmachen,to imitate
nachmittags,in the afternoons
nachsitzen,to be in detention
nass,wet
neblig,foggy
nur,only
organisch,organic
parken,to park
pensioniert,retired
persönlicher Freiraum,personal space
plötzlich,suddenly
preiswert,good value
pünktlich,punctual
qualifiziert,qualified
rauchen,to smoke
rechts von,to the right of
regnerisch,rainy
relaxen,to relax
respektvoll,respectful
richtig,right
ruhig,quiet
scheinen,to shine
schlank,slim
schließen,to close
schlieβen,to close
schlimm,awful
schmecken,to taste
schneiden,to cut
schwatzen,to chat
schwindig,dizzy
schüchtern,shy
segeln,to sail
selbstsicher,self-confident
selbstsüchtig,selfish
selten,rarely
sich erholen,to recover
sich fühlen,to feel
sich gut verhalten,to behave well
sich leisten,to afford
sich sonnen,to sunbathe
skateboarden,to skateboard
sofortige,instant
soziale Netzwerke,social network
spannend,exciting
sparen,to save
spazieren gehen,to take a walk
speziell,specifically
stehen,to be located
steigen,to increase
stellen,to place
streben nach,to aspire to
streng,strict
suchen,to look for
sympathisch,nice
tanzen,to dance
tauchen,to dive
teilen,to share
teilgenommen,took part
treffen,to meet
trocken,dry
töten,to kill
umsteigen,to change (means of transport)
umtauschen,to exchange money
umweltbewusst,environmentally aware
unartig,naughty
unbezahlt,unpaid
ungezogen,naughty
unglücklich,unhappy
unmöglich,impossible
unterstützen,to support
unterstützend,supportive
übernachten,to stay overnight
verantwortlich,responsible
verbringen,to spend
verdienen,to earn
vergessen,to forget
verhalten,to behave
verheiratet,married
verkaufen,to sell
verlassen,abandoned
verliebt,in love
verlieren,to lose
verpassen,to miss
